estate,assessment_date,latitude,longitude,confidence,source_folder,frame_filename
Sungai Besar Jln 6 1_2,2026-07-28,3.68711877121375,101.0467417117879,0.9026079177856445,DJI_20260728105952_0004_D,frame_00412.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68701831876551,101.046662485608,0.8796433806419373,DJI_20260728105952_0004_D,frame_00427.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.6870152101352,101.0466582602195,0.9277716875076294,DJI_20260728105952_0004_D,frame_00428.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68701275712885,101.0466556939576,0.9139438271522522,DJI_20260728105952_0004_D,frame_00429.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68701265035833,101.0466540695993,0.7316924333572388,DJI_20260728105952_0004_D,frame_00430.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68695588188443,101.0466167932832,0.6257036328315735,DJI_20260728105952_0004_D,frame_00441.jpg
Sungai Besar Jln 6 1_2,2026-07-28,3.68695325623589,101.0466150436732,0.9561351537704468,DJI_20260728105952_0004_D,frame_00442.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68725585398494,101.0464555467759,0.9184319972991943,DJI_20260805115257_0001_D,frame_00088.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68725881713882,101.0464578972039,0.9066359996795654,DJI_20260805115257_0001_D,frame_00089.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68746479087582,101.0466259220302,0.7875641584396362,DJI_20260805115257_0001_D,frame_00140.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68747487180153,101.0466298712124,0.7473430633544922,DJI_20260805115257_0001_D,frame_00141.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68747840034313,101.046632343454,0.7489534616470337,DJI_20260805115257_0001_D,frame_00142.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68749193363268,101.0466389984866,0.9284435510635376,DJI_20260805115257_0001_D,frame_00149.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68756279934081,101.0467234200165,0.837393581867218,DJI_20260805115257_0001_D,frame_00368.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68726855324279,101.0464841751432,0.928056001663208,DJI_20260805115257_0001_D,frame_00406.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68713083322992,101.0464518411885,0.7042266130447388,DJI_20260805115257_0001_D,frame_00453.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68705506613152,101.0464822024502,0.8630611300468445,DJI_20260805120524_0003_D,frame_00064.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68753494676313,101.0468642887234,0.5815803408622742,DJI_20260805120524_0003_D,frame_00150.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68790042292863,101.0471848032012,0.4378335177898407,DJI_20260805120524_0003_D,frame_00243.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68790025104037,101.0471753447795,0.9214012026786804,DJI_20260805120524_0003_D,frame_00244.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.6876059739297,101.0470519088086,0.8355793356895447,DJI_20260805121906_0004_D,frame_00027.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68751378788796,101.0469542391234,0.6654154658317566,DJI_20260805121906_0004_D,frame_00036.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.6873792548653,101.0468599554764,0.7768291234970093,DJI_20260805121906_0004_D,frame_00057.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.68737560566671,101.0468544526407,0.9243155121803284,DJI_20260805121906_0004_D,frame_00059.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.6873741665138,101.0468518104897,0.9439637064933777,DJI_20260805121906_0004_D,frame_00060.jpg
Sungai Besar Jln 6 1_2,2026-08-05,3.6873730349504,101.0468505341066,0.9512017369270325,DJI_20260805121906_0004_D,frame_00061.jpg
